player,matches,inn,overs,maiden,runs,wkts,bb_inn,avg,econ,sr,_4w,_5w,season
H Gori (CZK-R),4,4,12.0,0,85,3,2/22,28.33,7.08,24.0,0,0,2020
Haris Rauf (PAK),3,3,11.0,0,107,3,2/34,35.66,9.72,22.0,0,0,2020
Imad Wasim (PAK),3,3,11.0,0,96,3,2/31,32.00,8.72,22.0,0,0,2020
A Nanda (LUX),2,2,7.0,0,43,3,3/21,14.33,6.14,14.0,0,0,2020
WA Peatfield (GUE),1,1,4.0,0,24,3,3/24,8.00,6.00,8.0,0,0,2020
KW Richardson (AUS),3,3,9.0,0,63,3,2/13,21.00,7.00,18.0,0,0,2020
S Wickramasekara (CZK-R),4,4,16.0,0,125,3,2/24,41.66,7.81,32.0,0,0,2020
MA Wood (ENG),3,3,12.0,0,94,3,1/25,31.33,7.83,24.0,0,0,2020
A Zampa (AUS),3,3,11.5,0,123,3,2/34,41.00,10.39,23.6,0,0,2020
A Ashokan (CZK-R),4,4,8.5,0,97,2,1/12,48.50,10.98,26.5,0,0,2020
Bakhtiar Tahiri (BUL),3,2,6.0,0,57,2,2/38,28.50,9.50,18.0,0,0,2020
LC Le Tissier (GUE),1,1,4.0,0,17,2,2/17,8.50,4.25,12.0,0,0,2020
GJ Maxwell (AUS),3,2,5.0,0,30,2,2/14,15.00,6.00,15.0,0,0,2020
P Mishra (BUL),3,2,7.5,0,69,2,2/28,34.50,8.80,23.5,0,0,2020
Murid Ekrami (Belg),4,4,12.0,0,66,2,1/8,33.00,5.50,36.0,0,0,2020
S Rengarajan (CZK-R),3,2,5.0,0,50,2,1/21,25.00,10.00,15.0,0,0,2020
Shaheen Shah Afridi (PAK),3,3,9.1,0,82,2,2/28,41.00,8.94,27.5,0,0,2020
MA Starc (AUS),3,3,11.0,0,75,2,1/20,37.50,6.81,33.0,0,0,2020
Sulaiman Ali (BUL),2,2,6.1,0,56,2,2/27,28.00,9.08,18.5,0,0,2020
Wahab Riaz (PAK),1,1,4.0,0,26,2,2/26,13.00,6.50,12.0,0,0,2020
A Ahmadhel (BUL),1,1,2.0,0,22,1,1/22,22.00,11.00,12.0,0,0,2020
MM Ali (ENG),6,5,5.0,0,42,1,1/10,42.00,8.40,30.0,0,0,2020
J Butler (IOM),1,1,3.0,0,34,1,1/34,34.00,11.33,18.0,0,0,2020
PJ Cummins (AUS),2,2,6.0,0,48,1,1/24,48.00,8.00,36.0,0,0,2020
S Davizi (CZK-R),4,1,1.0,0,20,1,1/20,20.00,20.00,6.0,0,0,2020
