player,matches,inn,overs,maiden,runs,wkts,bb_inn,bb_match,avg,econ,sr,_4w,_5w,season
MDK Perera (SL),3,6,131.0,20,372,15,6/70,10/99,24.80,2.83,52.4,1,1,2016
MM Ali (ENG),7,13,159.0,23,692,13,3/88,5/131,53.23,4.35,73.3,0,0,2016
Sohail Khan (PAK),2,4,87.4,9,325,13,5/68,7/207,25.00,3.70,40.4,2,0,2016
N Pradeep (SL),4,7,118.0,30,368,12,4/107,5/141,30.66,3.11,59.0,0,0,2016
ST Finn (ENG),6,11,164.1,23,549,12,3/26,3/45,45.75,3.34,82.0,0,0,2016
Mohammad Amir (PAK),4,8,162.3,33,509,12,2/39,4/128,42.41,3.13,81.2,0,0,2016
TA Boult (NZ),4,7,138.2,40,349,11,4/52,4/75,31.72,2.52,75.4,0,0,2016
Mohammed Shami (IND),4,7,93.0,20,284,11,4/66,4/92,25.81,3.05,50.7,0,0,2016
TG Southee (NZ),4,7,148.0,46,444,11,3/46,4/96,40.36,3.00,80.7,0,0,2016
DW Steyn (SA),2,3,42.2,11,102,10,5/33,8/99,10.20,2.40,25.4,1,0,2016
Wahab Riaz (PAK),3,5,88.5,3,360,10,3/93,5/141,36.00,4.05,53.3,0,0,2016
ML Cummins (WI),3,3,59.2,13,189,9,6/48,9/102,21.00,3.18,39.5,1,0,2016
PADLR Sandakan (SL),3,5,71.4,12,207,9,4/58,7/107,23.00,2.88,47.7,0,0,2016
MJ Santner (NZ),4,6,103.0,26,252,9,2/16,3/48,28.00,2.44,68.6,0,0,2016
RL Chase (WI),4,4,114.1,17,334,8,5/121,5/121,41.75,2.92,85.6,1,0,2016
Rahat Ali (PAK),3,6,106.0,17,407,8,3/47,4/115,50.87,3.83,79.5,0,0,2016
I Sharma (IND),4,7,84.0,18,257,8,2/30,3/70,32.12,3.05,63.0,0,0,2016
IS Sodhi (NZ),2,4,60.2,18,199,8,4/60,7/79,24.87,3.29,45.2,0,0,2016
JR Hazlewood (AUS),3,6,84.4,19,229,7,3/21,5/80,32.71,2.70,72.5,0,0,2016
B Kumar (IND),2,3,41.4,17,59,6,5/33,6/46,9.83,1.41,41.6,1,0,2016
RAS Lakmal (SL),3,5,85.0,8,313,6,3/90,3/135,52.16,3.68,85.0,0,0,2016
A Mishra (IND),2,4,69.5,16,232,6,2/43,3/104,38.66,3.32,69.8,0,0,2016
RMS Eranga (SL),3,5,86.4,10,324,5,3/58,4/152,64.80,3.73,104.0,0,0,2016
