,player,matches,runs,hs,batting_avg,_100,wkts,bb_inn,bowling_avg,_5w,catches_taken,stumping_made,avg_diff,season
267,Nawroz Mangal (AFG),6,166,65*,33.20,0,,,,,,,,
268,SW Poynter (IRE),6,27,11,6.75,0,,,,,,,,
269,MJG Rippon (NED),6,64,25*,64.00,0,7,3/11,12.42,0,0,0,51.57,2015
270,Samiullah Shinwari (AFG),6,160,44,40.00,0,0,,,,,,,
271,PM Seelaar (NED),6,25,6*,6.25,0,3,2/19,28.00,0,1,0,-21.74,2015
272,Shafiqullah (AFG),6,34,15,34.00,0,,,,,,,,
273,MR Swart (NED),6,140,76*,28.00,0,0,,,,,,,
274,T van der Gugten (NED),6,14,12*,14.00,0,5,2/16,29.60,0,1,0,-15.59,2015
275,PA van Meekeren (NED),6,,,,,,,,,,,,
276,CA Young (IRE),6,0,0*,-,,,,,,,,,
277,Ahmed Shehzad (PAK),5,143,55,28.60,0,,,,,,,,
278,AG Cremer (ZIM),5,16,9,8.00,0,7,3/18,17.28,0,1,0,-9.28,2015
279,SP Gauchan (NEP),5,8,6*,4.00,0,1,1/30,85.00,0,0,0,-80.99,2015
280,TE Kane (IRE),5,28,26*,28.00,0,7,3/19,10.71,0,0,0,17.28,2015
281,Karan KC (NEP),5,5,2*,2.50,0,4,2/24,34.50,0,1,0,-31.99,2015
282,RP Magar (NEP),5,51,25,10.20,0,,,,,,,,
283,H Masakadza (ZIM),5,135,43,27.00,0,,,,,,,,
284,CB Mpofu (ZIM),5,6,6*,-,,,,,,,,,
285,Mukhtar Ahmed (PAK),5,188,83,37.60,0,,,,,,,,
286,Sagar Pun (NEP),5,55,20,11.00,0,4,3/26,20.25,0,0,0,-9.24,2015
287,Shahid Afridi (PAK),5,76,45,19.00,0,2,1/30,75.00,0,1,0,-55.99,2015
288,Sikandar Raza (ZIM),5,43,17,10.75,0,1,1/19,85.00,0,4,0,-74.24,2015
289,RE van der Merwe (NED),5,65,40*,32.50,0,9,2/10,14.44,0,4,0,18.05,2015
290,KJ Abbott (SA),4,9,9*,-,,,,,,,,,
291,Aizaz Khan (HKG),4,48,31,24.00,0,4,1/7,21.50,0,2,0,2.50,2015
292,J Anderson (IRE),4,12,9,6.00,0,0,,,,,,,
293,Anshuman Rath (HKG),4,46,22,15.33,0,0,,,,,,,
294,Anwar Ali (PAK),4,48,46,24.00,0,3,2/27,38.66,0,3,0,-14.66,2015
295,JJ Atkinson (HKG),4,56,47,18.66,0,,,,,,,,
296,Babar Hayat (HKG),4,52,20*,26.00,0,,,,,,,,
297,MS Chapman (HKG),4,103,40,25.75,0,,,,,,,,
298,CJ Chibhabha (ZIM),4,96,67,32.00,0,0,,,,,,,
299,E Chigumbura (ZIM),4,78,54,19.50,0,,,,,,,,
300,CK Coventry (ZIM),4,30,14,10.00,0,,,,,,,,
301,AB de Villiers (SA),4,90,40,22.50,0,,,,,,,,
302,MJ Guptill (NZ),4,141,60,35.25,0,,,,,,,,
303,Hamid Hassan (AFG),4,,,,,,,,,,,,
304,Haseeb Amjad (HKG),4,5,5,5.00,0,10,4/16,9.90,0,1,0,-4.89,2015
305,Irfan Ahmed (HKG),4,34,16,8.50,0,8,3/11,12.50,0,1,0,-3.99,2015
306,SP Khakurel (NEP),4,24,14,6.00,0,,,,,,,,
307,MJ McClenaghan (NZ),4,0,0,0.00,0,7,2/28,18.71,0,0,0,-18.71,2015
308,NL McCullum (NZ),4,24,18*,12.00,0,3,2/31,45.33,0,2,0,-33.33,2015
309,CS MacLeod (SCOT),4,44,19,14.66,0,,,,,,,,
310,DA Miller (SA),4,62,30*,31.00,0,,,,,,,,
311,Mohammad Hafeez (PAK),4,66,26,16.50,0,0,,,,,,,
312,Mohammad Rizwan (PAK),4,23,17,11.50,0,,,,,,,,
313,JF Mooney (IRE),4,27,18*,13.50,0,6,2/7,13.66,0,0,0,-0.16,2015
314,C Munro (NZ),4,42,23*,14.00,0,,,,,,,,
315,Nadeem Ahmed (HKG),4,10,10,10.00,0,1,1/25,68.00,0,3,0,-57.99,2015
316,Nizakat Khan (HKG),4,85,26,21.25,0,1,1/10,27.00,0,0,0,-5.74,2015
317,AM Phangiso (SA),4,2,2,2.00,0,7,3/30,17.14,0,0,0,-15.14,2015
318,WTS Porterfield (IRE),4,107,57*,53.50,0,,,,,,,,
319,AD Poynter (IRE),4,43,36,21.50,0,,,,,,,,
320,L Ronchi (NZ),4,45,29,11.25,0,,,,,,,,
321,RR Rossouw (SA),4,114,38,57.00,0,,,,,,,,
322,KD Shah (HKG),4,16,12,16.00,0,,,,,,,,
323,Sharafuddin Ashraf (AFG),4,,,,,,,,,,,,
324,Shoaib Malik (PAK),4,68,46*,22.66,0,5,2/16,12.00,0,0,0,10.66,2015
325,PR Stirling (IRE),4,82,34,20.50,0,,,,,,,,
326,Tanwir Afzal (HKG),4,23,18,7.66,0,2,1/34,55.00,0,0,0,-47.33,2015
327,Umar Akmal (PAK),4,84,46,21.00,0,,,,,,,,
328,P Utseya (ZIM),4,16,13*,16.00,0,1,1/31,109.00,0,0,0,-92.99,2015
329,D Wiese (SA),4,2,2,2.00,0,5,2/12,15.80,0,2,0,-13.79,2015
330,SC Williams (ZIM),4,107,58*,35.66,0,7,3/28,17.71,0,2,0,17.95,2015
331,KS Williamson (NZ),4,144,57,36.00,0,0,,,,,,,
332,GC Wilson (IRE),4,46,20,15.33,0,,,,,,,,
333,Abdul Shakoor (UAE),3,28,20*,14.00,0,,,,,,,,
334,CJA Amini (PNG),3,43,37*,43.00,0,2,2/23,15.00,0,2,0,28.00,2015
335,Arafat Sunny (BAN),3,6,5*,-,,,,,,,,,
336,MD Dai (PNG),3,18,11,9.00,0,2,2/13,24.50,0,3,0,-15.49,2015
337,CD de Lange (SCOT),3,1,1,1.00,0,1,1/44,53.00,0,1,0,-51.99,2015
338,GD Elliott (NZ),3,33,20,11.00,0,1,1/7,29.00,0,0,0,-17.99,2015
339,CR Ervine (ZIM),3,51,42,17.00,0,,,,,,,,
340,Faizan Asif (UAE),3,62,28,20.66,0,,,,,,,,
341,WT Gavera (PNG),3,,,,,,,,,,,,
342,Imad Wasim (PAK),3,28,24*,-,,,,,,,,,
343,GT Main (SCOT),3,,,,,,,,,,,,
344,Mashrafe Mortaza (BAN),3,22,17,11.00,0,0,,,,,,,
345,GJ McCarter (IRE),3,,,,,,,,,,,,
346,AF Milne (NZ),3,12,10*,-,,,,,,,,,
347,Mohammad Naveed (UAE),3,38,19*,19.00,0,2,1/10,38.00,0,0,0,-18.99,2015
348,Mohammad Shahzad (UAE),3,70,43,23.33,0,0,,,,,,,
349,Mohammad Tauqir (UAE),3,4,4,4.00,0,0,,,,,,,
350,Mushfiqur Rahim (BAN),3,55,19,18.33,0,,,,,,,,
351,Mustafizur Rahman (BAN),3,1,1,0.50,0,3,2/20,28.00,0,0,0,-27.49,2015
352,T Muzarabani (ZIM),3,,,,,,,,,,,,
353,Nasir Hossain (BAN),3,1,1,0.50,0,3,2/26,26.33,0,1,0,-25.83,2015
354,L Nou (PNG),3,2,2*,-,,,,,,,,,
355,MP O'Dowd (NED),3,20,17,10.00,0,1,1/7,7.00,0,2,0,3.00,2015
356,SP Patil (UAE),3,45,34,15.00,0,,,,,,,,
357,K Rabada (SA),3,5,5*,-,,,,,,,,,
358,Sabbir Rahman (BAN),3,56,51*,28.00,0,,,,,,,,
359,Shaiman Anwar (UAE),3,59,35,19.66,0,,,,,,,,
360,Shapoor Zadran (AFG),3,,,,,,,,,,,,
361,Shakib Al Hasan (BAN),3,91,57*,45.50,0,1,1/24,78.00,0,1,0,-32.49,2015
362,L Siaka (PNG),3,13,7,4.33,0,,,,,,,,
363,Sohail Tanvir (PAK),3,9,8,4.50,0,4,3/29,22.25,0,0,0,-17.74,2015
364,Soumya Sarkar (BAN),3,44,37,14.66,0,0,,,,,,,
365,Tamim Iqbal (BAN),3,32,14,10.66,0,,,,,,,,
366,Umair Ali (UAE),3,22,13,22.00,0,1,1/13,28.00,0,0,0,-5.99,2015
367,TP Ura (PNG),3,43,32,14.33,0,,,,,,,,
