,player,country,matches,runs,highest_score,batting_avg,100s,wickets,best_bowling_innings,bowling_avg,5wicket_haul,catches_taken,stumping_made,avg_diff,year,allrounder_score
169,Mohammad Nawaz ,3 (PAK,8,6,6,6.0,0,8,2/11,22.37,0,2,0,-16.37,2018,-1.7110000000000003
170,KJ O'Brien ,IRE,8,73,28,10.42,0,4,3/40,25.25,0,3,0,-14.82,2018,-2.8489999999999993
171,Simi Singh ,IRE,8,123,57*,17.57,0,8,3/23,24.87,0,2,0,-7.3,2018,1.0099999999999998
172,PR Stirling ,IRE,8,206,81,25.75,0,2,1/10,49.0,0,3,0,-23.24,2018,-6.174999999999999
173,SR Thompson ,IRE,8,59,15,9.83,0,2,1/25,76.5,0,8,0,-66.66,2018,-19.201
174,S Badree ,WI,7,10,7,10.0,0,2,2/4,84.5,0,0,0,-74.49,2018,-21.549999999999997
175,KMA Paul ,WI,7,30,17,15.0,0,8,2/24,26.25,0,1,0,-11.24,2018,-0.17499999999999982
176,AC Agar ,AUS,6,52,29,17.33,0,2,2/16,71.0,0,3,0,-53.66,2018,-15.301000000000002
177,RD Berrington ,SCOT,6,169,64*,56.33,0,4,1/7,16.5,0,2,0,39.83,2018,13.549
178,PKD Chase ,IRE,6,7,4,7.0,0,9,4/35,21.55,0,3,0,-14.55,2018,-0.7649999999999997
179,MA Leask ,SCOT,6,56,38*,18.66,0,5,3/31,27.6,0,3,0,-8.93,2018,-0.6819999999999995
180,Mahmudullah ,BAN,6,168,45,42.0,0,2,2/1,5.0,0,4,0,37.0,2018,11.9
181,GJ Maxwell ,AUS,6,81,56,20.25,0,4,2/35,18.75,0,2,0,1.5,2018,2.0500000000000007
182,Nazmul Islam ,BAN,6,17,7,17.0,0,5,3/28,23.6,0,1,0,-6.59,2018,0.019999999999999574
183,R Powell ,WI,6,91,43,18.2,0,1,1/34,47.0,0,3,0,-28.79,2018,-8.239999999999998
184,Rashid Khan ,AFG/ICC,6,16,9,5.33,0,17,4/12,8.76,0,3,0,-3.43,2018,5.771000000000001
185,Shakib Al Hasan ,BAN,6,131,60,21.83,0,5,2/19,28.0,0,1,0,-6.16,2018,0.14899999999999913
186,B Stanlake ,AUS,6,7,7,7.0,0,8,4/8,20.87,0,0,0,-13.87,2018,-0.9609999999999994
187,MP Stoinis ,AUS,6,41,16,13.66,0,4,1/9,32.0,0,4,0,-18.33,2018,-3.9019999999999992
188,AJ Tye ,AUS,6,32,20,16.0,0,12,3/12,15.25,0,3,0,0.75,2018,5.025000000000001
189,KOK Williams ,WI,6,1,1,0.5,0,9,4/28,24.0,0,3,0,-23.49,2018,-3.4499999999999993
190,AC Evans ,SCOT,5,0,0,0.0,0,8,3/23,19.62,0,1,0,-19.62,2018,-2.686
191,FJ Klaassen ,NED,5,2,1*,2.0,0,3,1/29,50.33,0,0,0,-48.33,2018,-13.298999999999998
192,Mohammad Nabi ,AFG,5,53,31*,13.25,0,6,2/19,18.66,0,2,0,-5.41,2018,0.7770000000000001
193,Rubel Hossain ,BAN,5,2,2*,2.0,0,5,1/13,29.2,0,0,0,-27.19,2018,-6.16
194,PM Seelaar ,NED,5,62,36,31.0,0,5,3/25,24.0,0,2,0,7.0,2018,4.1
195,SM Sharif ,SCOT,5,13,10,13.0,0,4,2/31,40.75,0,1,0,-27.74,2018,-6.725
196,Soumya Sarkar ,BAN,5,37,15,7.4,0,1,1/18,26.0,0,1,0,-18.59,2018,-5.18
197,PA van Meekeren ,NED,5,12,8,6.0,0,2,1/20,60.0,0,0,0,-53.99,2018,-15.4
198,MRJ Watt ,SCOT,5,1,1,1.0,0,3,1/18,47.0,0,2,0,-45.99,2018,-12.6
199,Ariful Haque ,BAN,4,39,18*,39.0,0,1,1/13,13.0,0,2,0,26.0,2018,8.2
200,CR Brathwaite ,WI,4,16,11,8.0,0,3,2/32,32.0,0,2,0,-23.99,2018,-6.0
