,player,matches,runs,hs,batting_avg,_100,wkts,bb_inn,bowling_avg,_5w,catches_taken,stumping_made,avg_diff,season
270,MA Starc (AUS),5,33,29*,33.00,0,6,2/23,33.33,0,1,0,-0.33,2014
271,KJ Abbott (SA),4,29,23,14.50,0,2,2/21,51.50,0,0,0,-36.99,2014
272,R Ashwin (IND),4,26,16,26.00,0,7,3/39,24.85,0,2,0,1.14,2014
273,MH Cross (SCOT),4,15,9,3.75,0,,,,,,,,
274,JH Davey (SCOT),4,44,40,14.66,0,7,3/28,19.57,0,0,0,-4.90,2014
275,S Dhawan (IND),4,155,97*,51.66,0,,,,,,,,
276,MS Dhoni (IND),4,81,52,40.50,0,,,,,,,,
277,JP Faulkner (AUS),4,54,39,27.00,0,2,1/19,80.00,0,3,0,-52.99,2014
278,AD Hales (ENG),4,92,42,23.00,0,,,,,,,,
279,RM Haq (SCOT),4,25,18*,25.00,0,5,5/54,32.60,1,1,0,-7.59,2014
280,Hashmatullah Shahidi (AFG),4,67,38*,22.33,0,0,,,,,,,
281,PJ Hughes (AUS),4,161,85,40.25,0,,,,,,,,
282,RA Jadeja (IND),4,108,87,108.00,0,7,4/28,24.57,0,1,0,83.42,2014
283,MG Johnson (AUS),4,51,23*,25.50,0,4,2/30,38.00,0,0,0,-12.49,2014
284,V Kohli (IND),4,54,40,18.00,0,,,,,,,,
285,B Kumar (IND),4,1,1,1.00,0,5,2/14,26.80,0,1,0,-25.79,2014
286,MA Leask (SCOT),4,102,50,34.00,0,1,1/26,65.00,0,0,0,-30.99,2014
287,NM Lyon (AUS),4,8,8*,-,,,,,,,,,
288,CS MacLeod (SCOT),4,154,116*,51.33,1,0,,,,,,,
289,SW Masakadza (ZIM),4,22,15,11.00,0,3,2/39,62.33,0,1,0,-51.33,2014
290,Mirwais Ashraf (AFG),4,5,4,2.50,0,2,1/21,53.00,0,0,0,-50.49,2014
291,Mohammed Shami (IND),4,0,0,0.00,0,8,3/28,19.00,0,1,0,-18.99,2014
292,PL Mommsen (SCOT),4,53,31*,17.66,0,,,,,,,,
293,KJ O'Brien (IRE),4,159,67,53.00,0,2,1/10,32.50,0,2,0,20.50,2014
