,player,matches,runs,hs,batting_avg,_100,wkts,bb_inn,bowling_avg,_5w,catches_taken,stumping_made,avg_diff,season
223,MM Ali (ENG),9,463,77,30.86,0,23,3/51,43.65,0,6,0,-12.78,2015
224,JM Anderson (ENG),8,64,20,6.40,0,33,6/42,25.42,2,8,0,-19.02,2015
225,GS Ballance (ENG),7,465,122,35.76,1,,,,,,,,
226,MJ Clarke (AUS),7,211,47,21.10,0,0,,,,,,,
227,MG Johnson (AUS),7,166,77,16.60,0,23,3/21,29.26,0,1,0,-12.66,2015
228,NM Lyon (AUS),7,74,22,14.80,0,24,4/75,25.25,0,2,0,-10.44,2015
229,A Lyth (ENG),7,265,107,20.38,1,0,,,,,,,
230,SPD Smith (AUS),7,791,215,71.90,3,2,1/2,17.00,0,2,0,54.90,2015
231,MA Starc (AUS),7,163,58,18.11,0,28,6/111,25.32,2,6,0,-7.21,2015
232,AC Voges (AUS),7,368,130*,46.00,1,0,,,,,,,
233,DA Warner (AUS),7,516,85,39.69,0,0,,,,,,,
234,LD Chandimal (SL),6,441,162*,44.10,1,,,,,,,,
235,JR Hazlewood (AUS),6,108,39,21.60,0,28,5/38,18.50,1,2,0,3.10,2015
236,FDM Karunaratne (SL),6,385,130,32.08,1,,,,,,,,
237,AD Mathews (SL),6,608,122,55.27,3,6,2/15,25.83,0,4,0,29.43,2015
238,KTGD Prasad (SL),6,78,35,7.09,0,29,4/43,25.27,0,1,0,-18.18,2015
239,JK Silva (SL),6,309,125,28.09,1,,,,,,,,
240,HDRL Thirimanne (SL),6,232,62,21.09,0,,,,,,,,
241,MA Wood (ENG),6,151,32*,25.16,0,19,3/69,36.31,0,2,0,-11.14,2015
242,Asad Shafiq (PAK),5,380,131,54.28,2,1,1/32,32.00,0,5,0,22.28,2015
243,Azhar Ali (PAK),5,542,226,67.75,2,2,2/35,37.50,0,11,0,30.25,2015
244,J Blackwood (WI),5,376,112*,47.00,1,0,,,,,,,
245,KC Brathwaite (WI),5,215,116,21.50,1,0,,,,,,,
246,DM Bravo (WI),5,286,82,28.60,0,,,,,,,,
247,HMRKB Herath (SL),5,114,49,19.00,0,17,7/48,40.17,1,1,0,-21.17,2015
248,JO Holder (WI),5,264,103*,44.00,1,11,3/15,33.36,0,5,0,10.63,2015
249,Imrul Kayes (BAN),5,384,150,54.85,1,0,,,,,,,
250,PHT Kaushal (SL),5,79,18,9.87,0,22,5/42,36.54,2,1,0,-26.67,2015
251,Misbah-ul-Haq (PAK),5,264,82,37.71,0,,,,,,,,
252,Mohammad Shahid (BAN),5,57,25,11.40,0,5,2/23,57.60,0,0,0,-46.19,2015
253,Mominul Haque (BAN),5,258,80,36.85,0,0,,,,,,,
254,Mushfiqur Rahim (BAN),5,139,65,19.85,0,,,,,,,,
255,D Ramdin (WI),5,197,57,21.88,0,,,,,,,,
256,CJL Rogers (AUS),5,480,173,60.00,1,,,,,,,,
257,Sarfaraz Ahmed (PAK),5,325,96,81.25,0,,,,,,,,
258,Shakib Al Hasan (BAN),5,294,89*,58.80,0,7,4/105,70.57,0,3,0,-11.77,2015
259,Tamim Iqbal (BAN),5,375,206,53.57,1,,,,,,,,
260,Yasir Shah (PAK),5,69,23,11.50,0,34,7/76,23.64,3,2,0,-12.14,2015
261,Younis Khan (PAK),5,487,171*,69.57,2,,,,,,,,
262,R Ashwin (IND),4,96,58,16.00,0,26,6/46,18.26,3,1,0,-2.26,2015
263,N Pradeep (SL),4,13,4*,3.25,0,13,4/62,29.92,0,1,0,-26.67,2015
264,Junaid Khan (PAK),4,11,6*,11.00,0,6,2/26,63.16,0,0,0,-52.16,2015
265,V Kohli (IND),4,247,103,35.28,1,,,,,,,,
266,Mahmudullah (BAN),4,221,67,36.83,0,2,1/8,29.50,0,4,1,7.33,2015
267,Mohammad Hafeez (PAK),4,330,224,55.00,1,9,2/40,27.55,0,5,0,27.44,2015
268,PM Nevill (AUS),4,143,59,23.83,0,,,,,,,,
269,AM Rahane (IND),4,276,126,39.42,1,,,,,,,,
270,MN Samuels (WI),4,306,103,38.25,1,4,1/38,82.50,0,1,0,-44.24,2015
271,KC Sangakkara (SL),4,197,50,24.62,0,,,,,,,,
272,I Sharma (IND),4,23,10,7.66,0,13,5/54,25.07,1,0,0,-17.41,2015
273,RG Sharma (IND),4,208,79,29.71,0,,,,,,,,
274,Taijul Islam (BAN),4,51,16*,12.75,0,11,6/163,49.45,1,1,0,-36.70,2015
